package_name,repo_url,changelog_file,migration_file,readme_breaking_file,breaking_change_in_releases,other_files,event_exist,reason,external,ext
async,https://github.com/caolan/async,CHANGELOG.md,,,TRUE,,TRUE,,http://caolan.github.io/async/,http://caolan.github.io/async/
ora,https://github.com/sindresorhus/ora,,,,TRUE,,,,,
ava,https://github.com/avajs/ava,,,,TRUE,,TRUE,,,
minimist,https://github.com/minimistjs/minimist,,,,FALSE,,TRUE,,,
@vue/cli-plugin-eslint,https://github.com/vuejs/vue-cli,CHANGELOG.md,docs/migrations/migrate*.md,,TRUE,,TRUE,,,https://cli.vuejs.org/
standard,https://github.com/standard/standard,CHANGELOG.md,,,TRUE,,,,,https://standardjs.com
eslint-loader,https://github.com/webpack-contrib/eslint-loader,CHANGELOG.md,,README.md,TRUE,,,,,
browserify,https://github.com/browserify/browserify,changelog.markdown,,,TRUE,,,,,http://browserify.org/
jquery,https://github.com/jquery/jquery,,,,TRUE,,,,https://api.jquery.com,https://jquery.com
bluebird,https://github.com/petkaantonov/bluebird,changelog.md,,,TRUE,,TRUE,,,http://bluebirdjs.com
mini-css-extract-plugin,https://github.com/webpack-contrib/mini-css-extract-plugin,CHANGELOG.md,,,TRUE,,TRUE,,,
rollup-plugin-postcss,https://github.com/egoist/rollup-plugin-postcss,CHANGELOG-OLD.md,,,TRUE,,TRUE,,,
less-loader,https://github.com/webpack-contrib/less-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
mongoose,https://github.com/Automattic/mongoose,CHANGELOG.md,,,TRUE,deprecations.md; migrat*.md,TRUE,,,https://mongoosejs.com
karma-jasmine,https://github.com/karma-runner/karma-jasmine,CHANGELOG.md,,,TRUE,,TRUE,,,
enzyme,https://github.com/airbnb/enzyme,CHANGELOG.md,,README.md,FALSE,,TRUE,,,https://enzymejs.github.io/enzyme/
gh-pages,https://github.com/tschaub/gh-pages,changelog.md,,,TRUE,,,,,https://www.npmjs.com/package/gh-pages
copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin,CHANGELOG.md,,,TRUE,,TRUE,,,
should,https://github.com/shouldjs/should.js,,,,TRUE,History.md,,,,http://shouldjs.github.io
colors,https://github.com/Marak/colors.js,,,,FALSE,,,only one,, https://github.com/Marak/colors.js
jasmine-core,https://github.com/jasmine/jasmine,,,,TRUE,,,,https://jasmine.github.io/upgrade-guides/5.0,http://jasmine.github.io/
@rollup/plugin-babel,https://github.com/rollup/plugins,packages/babel/CHANGELOG.md,,,FALSE,,TRUE,,,
webpack-dev-server,https://github.com/webpack/webpack-dev-server,CHANGELOG.md,migration*.md,,TRUE,,TRUE,,,
rollup-plugin-peer-deps-external,https://github.com/pmowrer/rollup-plugin-peer-deps-external,,,,TRUE,,,,,
cors,https://github.com/expressjs/cors,,,,FALSE,,,no,,
uglify-js,https://github.com/mishoo/UglifyJS,,,,FALSE,,,,,http://lisperator.net/uglifyjs/
gulp-rename,https://github.com/hparra/gulp-rename,CHANGELOG.md,,,TRUE,,,,,
